ResponseId	Moral_DIL	Age_correct	Attention_check	CCA	Duration	Heure_TOT	AOT_TOT	Narc_TOT	Mach_TOT	Psych_TOT	CRT_TOT	Num_TOT	Outcome	Study	Duration.min	Moral_SCA	Moral_CAR	SleepEfficiency.criteria
71_S4	88.04	1	1	1	661	11.15								4	200	31	0.642857142857143	
72_S4	84.1	1	1	1	439	14.1333333333333								4	200	31	0.857142857142857	
74_S4	91.86	1	1	1	184	13.3								4	200	30	0.857142857142857	
75_S4	82.95	1	1	1	660	14.6								4	200	31	0.714285714285714	
76_S4	34.13	1	1	1	330	14.6333333333333								4	200	34	1	
77_S4	36.28	1	1	1	272	11.7								4	200	31	1	
78_S4	94.18	1	1	1	1458	14.7								4	200	34	1	
79_S4	84.21	1	1	1	2277	13.7333333333333								4	200	36	0.928571428571429	
80_S4	63.67	1	1	1	610	11.7666666666667								4	200	32	0.928571428571429	
81_S4	64.78	1	1	1	609	13.85								4	200	37	1	
82_S4	99.61	1	1	1	1364	14.9833333333333								4	200	35	1	
83_S4	17.85	1	1	1	706	15.05								4	200	30	0.785714285714286	
84_S4	110	1	1	1	600	12.0666666666667								4	200	43	1	
85_S4	3.45	1	1	1	786	12.1333333333333								4	200	33	0.857142857142857	
86_S4	49.04	1	1	1	706	14.2166666666667								4	200	39	0.714285714285714	
87_S4	28.84	1	1	1	608	14.3666666666667								4	200	30	0.928571428571429	
89_S4	63	1	1	1	237	14.3333333333333								4	200	34	0.714285714285714	
90_S4	48.31	1	1	1	261	14.45								4	200	35	1	
91_S4	65.52	1	1	1	805	12.45								4	200	35	0.857142857142857	
92_S4	68.23	1	1	1	310	12.6333333333333								4	200	36	1	
